,train,val,test
2f2e5477-42a4-4906-a943-bf7f80_D1_D1,True,False,False
C3L-00001-21,True,False,False
C3L-00001-26,True,False,False
C3L-00009-21,True,False,False
C3L-00009-26,True,False,False
C3L-00083-21,True,False,False
C3L-00083-26,True,False,False
C3L-00093-21,True,False,False
C3L-00093-26,True,False,False
C3L-00094-21,True,False,False
C3L-00094-26,True,False,False
C3L-00140-22,True,False,False
C3L-00140-26,True,False,False
C3L-00140-21,True,False,False
C3L-00144-21,True,False,False
C3L-00144-26,True,False,False
C3L-00263-24,True,False,False
C3L-00263-25,True,False,False
C3L-00263-28,True,False,False
C3L-00263-21,True,False,False
C3L-00263-22,True,False,False
C3L-00263-23,True,False,False
C3L-00263-26,True,False,False
C3L-00263-27,True,False,False
C3L-00279-22,True,False,False
C3L-00279-23,True,False,False
C3L-00279-25,True,False,False
C3L-00279-21,True,False,False
C3L-00279-24,True,False,False
C3L-00279-26,True,False,False
C3L-00422-21,True,False,False
C3L-00422-22,True,False,False
C3L-00422-25,True,False,False
C3L-00422-23,True,False,False
C3L-00422-24,True,False,False
C3L-00422-26,True,False,False
C3L-00444-23,True,False,False
C3L-00444-28,True,False,False
C3L-00444-21,True,False,False
C3L-00444-22,True,False,False
C3L-00444-26,True,False,False
C3L-00444-27,True,False,False
C3L-00446-21,True,False,False
C3L-00446-25,True,False,False
C3L-00446-22,True,False,False
C3L-00446-23,True,False,False
C3L-00446-24,True,False,False
C3L-00446-26,True,False,False
C3L-00446-27,True,False,False
C3L-00510-22,True,False,False
C3L-00510-23,True,False,False
C3L-00510-24,True,False,False
C3L-00510-21,True,False,False
C3L-00510-25,True,False,False
C3L-00510-26,True,False,False
C3L-00604-21,True,False,False
C3L-00604-26,True,False,False
C3L-00604-22,True,False,False
C3L-00604-23,True,False,False
C3L-00893-22,True,False,False
C3L-00893-26,True,False,False
C3L-00893-21,True,False,False
C3L-00893-23,True,False,False
C3L-00893-24,True,False,False
C3L-00893-25,True,False,False
C3L-00913-23,True,False,False
C3L-00913-26,True,False,False
C3L-00913-21,True,False,False
C3L-00913-22,True,False,False
C3L-00973-23,True,False,False
C3L-00973-27,True,False,False
C3L-00973-21,True,False,False
C3L-00973-22,True,False,False
C3L-00973-24,True,False,False
C3L-00973-25,True,False,False
C3L-00973-28,True,False,False
C3L-01330-21,True,False,False
C3L-01330-22,True,False,False
C3L-01330-24,True,False,False
C3L-01330-23,True,False,False
C3L-01330-25,True,False,False
C3L-01330-26,True,False,False
93e30fd5-e57e-4503-a175-863c7d_D1_D1,False,True,False
C3N-01488-23,False,True,False
C3N-01488-26,False,True,False
C3N-01488-21,False,True,False
C3N-01488-22,False,True,False
C3N-01488-24,False,True,False
C3N-01488-27,False,True,False
C3N-00559-21,False,True,False
C3N-00559-26,False,True,False
C3N-00559-22,False,True,False
C3N-00559-23,False,True,False
C3N-00559-24,False,True,False
C3N-00559-27,False,True,False
C3N-00293-24,False,True,False
C3N-00293-25,False,True,False
C3N-00293-21,False,True,False
C3N-00293-22,False,True,False
C3N-00293-23,False,True,False
C3N-01409-24,False,True,False
C3N-01409-21,False,True,False
C3N-01409-22,False,True,False
C3N-01409-23,False,True,False
C3N-01409-27,False,True,False
C3N-02922-24,False,True,False
C3N-02922-26,False,True,False
C3N-02922-21,False,True,False
C3N-02922-22,False,True,False
C3N-02922-23,False,True,False
C3N-02922-27,False,True,False
C3N-02379-21,False,True,False
C3N-02379-22,False,True,False
C3N-02379-23,False,True,False
C3L-00080-21,False,True,False
C3L-00080-26,False,True,False
C3L-03463-27,False,True,False
C3L-03463-26,False,True,False
C3N-02928-21,False,True,False
C3N-02928-22,False,True,False
C3N-02928-23,False,True,False
C3N-00572-24,False,True,False
C3N-00572-26,False,True,False
C3N-00572-21,False,True,False
C3N-00572-22,False,True,False
C3N-00572-23,False,True,False
C3N-00572-27,False,True,False
5a84eae1-197e-4463-ad65-59becc_D1_D1,False,True,False
C3L-02365-21,False,True,False
C3L-02365-23,False,True,False
C3L-02365-22,False,True,False
C3L-02365-24,False,True,False
C3L-02365-25,False,True,False
C3N-00294-22,False,True,False
C3N-00294-21,False,True,False
C3N-00294-23,False,True,False
C3N-00294-24,False,True,False
C3N-00294-25,False,True,False
C3N-01405-21,False,True,False
C3N-01405-26,False,True,False
C3N-01405-27,False,True,False
C3N-01405-22,False,True,False
C3N-01405-23,False,True,False
C3N-01405-24,False,True,False
C3N-03929-21,False,True,False
C3N-03929-26,False,True,False
C3N-03929-22,False,True,False
C3N-03929-23,False,True,False
C3L-01682-21,False,True,False
C3L-01682-23,False,True,False
C3L-01682-24,False,True,False
C3L-01682-22,False,True,False
C3N-00547-21,False,True,False
C3N-00547-26,False,True,False
C3N-00547-22,False,True,False
C3N-00547-23,False,True,False
C3N-00547-24,False,True,False
C3N-00547-27,False,True,False
C3N-00217-22,False,True,False
C3N-00217-24,False,True,False
C3N-00217-26,False,True,False
C3N-00217-21,False,True,False
C3N-00217-23,False,True,False
C3N-00217-27,False,True,False
C3L-02348-22,False,True,False
C3L-02348-26,False,True,False
C3L-02348-21,False,True,False
C3N-03238-21,False,True,False
C3N-03238-26,False,True,False
C3N-03238-22,False,True,False
C3N-03238-23,False,True,False
C3N-02586-21,False,True,False
C3N-02586-22,False,True,False
C3N-02586-23,False,True,False
C3L-02219-21,False,True,False
C3L-02219-26,False,True,False
C3L-02219-22,False,True,False
C3L-00095-21,False,False,True
C3L-00095-26,False,False,True
C3L-00095-22,False,False,True
C3L-00095-23,False,False,True
C3N-02090-23,False,False,True
C3N-02090-26,False,False,True
C3N-02090-21,False,False,True
C3N-02090-22,False,False,True
C3N-02090-27,False,False,True
C3N-00959-22,False,False,True
C3N-00959-26,False,False,True
C3N-00959-21,False,False,True
C3N-00959-23,False,False,True
C3N-00959-27,False,False,True
C3N-02433-21,False,False,True
C3N-02433-22,False,False,True
C3N-02433-23,False,False,True
C3N-01489-22,False,False,True
C3N-01489-27,False,False,True
C3N-01489-21,False,False,True
C3N-01489-23,False,False,True
C3N-01489-24,False,False,True
C3N-01489-26,False,False,True
C3L-00368-21,False,False,True
C3L-00368-26,False,False,True
C3L-00368-22,False,False,True
C3L-03984-21,False,False,True
C3L-03984-25,False,False,True
C3L-03984-26,False,False,True
C3L-03984-22,False,False,True
C3L-03984-23,False,False,True
C3L-03984-24,False,False,True
C3L-03984-27,False,False,True
C3L-03984-28,False,False,True
9f905736-f662-41d6-b3ac-16758d_D1_D1,False,False,True
C3L-04033-21,False,False,True
C3L-04033-22,False,False,True
C3L-04033-27,False,False,True
C3L-04033-23,False,False,True
C3L-04033-24,False,False,True
C3L-04033-25,False,False,True
C3L-04033-26,False,False,True
C3L-04033-28,False,False,True
C3N-02423-21,False,False,True
C3N-02423-22,False,False,True
C3N-02423-23,False,False,True
C3L-02967-21,False,False,True
C3L-02967-26,False,False,True
C3L-03969-23,False,False,True
C3L-03969-24,False,False,True
C3L-03969-25,False,False,True
C3L-03969-26,False,False,True
C3L-03969-27,False,False,True
C3L-03969-28,False,False,True
C3L-03969-21,False,False,True
C3L-03969-22,False,False,True
C3L-00412-21,False,False,True
C3L-00412-26,False,False,True
C3N-01023-24,False,False,True
C3N-01023-26,False,False,True
C3N-01023-21,False,False,True
C3N-01023-22,False,False,True
C3N-01023-23,False,False,True
C3N-01023-27,False,False,True
C3N-02144-22,False,False,True
C3N-02144-26,False,False,True
C3N-02144-21,False,False,True
C3N-02144-23,False,False,True
C3N-02144-24,False,False,True
C3N-02144-27,False,False,True
C3N-02242-24,False,False,True
C3N-02242-26,False,False,True
C3N-02242-21,False,False,True
C3N-02242-22,False,False,True
C3N-02242-23,False,False,True
C3N-02242-27,False,False,True
C3N-02193-25,False,False,True
C3N-02193-26,False,False,True
C3N-02193-27,False,False,True
C3N-02193-21,False,False,True
C3N-02193-22,False,False,True
C3N-02193-23,False,False,True
C3N-02193-24,False,False,True
C3L-01889-21,False,False,True
C3L-01889-26,False,False,True
C3N-00551-24,False,False,True
C3N-00551-26,False,False,True
C3N-00551-21,False,False,True
C3N-00551-22,False,False,True
C3N-00551-23,False,False,True
C3N-00551-27,False,False,True
C3N-00560-22,False,False,True
C3N-00560-26,False,False,True
C3N-00560-21,False,False,True
C3N-00560-23,False,False,True
C3N-00560-24,False,False,True
C3N-00560-27,False,False,True
C3N-00578-24,False,False,True
C3N-00578-26,False,False,True
C3N-00578-21,False,False,True
C3N-00578-22,False,False,True
C3N-00578-23,False,False,True
C3N-00578-27,False,False,True
C3N-02234-21,False,False,True
C3N-02234-26,False,False,True
C3N-02234-22,False,False,True
C3N-02234-23,False,False,True
C3N-02234-24,False,False,True
C3N-02234-27,False,False,True
C3N-00169-23,False,False,True
C3N-00169-26,False,False,True
C3N-00169-21,False,False,True
C3N-00169-22,False,False,True
C3N-00169-24,False,False,True
C3N-00169-27,False,False,True
