,train,val,test
0,9f905736-f662-41d6-b3ac-16758d_D1_D1,C3L-01924-23,C3N-02090-23
1,93e30fd5-e57e-4503-a175-863c7d_D1_D1,C3L-01924-25,C3N-02090-26
2,2f2e5477-42a4-4906-a943-bf7f80_D1_D1,C3L-01924-27,C3N-02090-21
3,C3L-00001-21,C3L-01924-21,C3N-02090-22
4,C3L-00001-26,C3L-01924-22,C3N-02090-27
5,C3L-00009-21,C3L-01924-24,C3N-01021-21
6,C3L-00009-26,C3L-01924-28,C3N-01021-26
7,C3L-00083-21,C3N-03073-22,C3N-01021-27
8,C3L-00083-26,C3N-03073-23,C3N-01021-22
9,C3L-00093-21,C3N-03073-21,C3N-01021-23
10,C3L-00093-26,C3L-00893-22,C3N-01021-24
11,C3L-00095-21,C3L-00893-26,C3N-02089-23
12,C3L-00095-26,C3L-00893-21,C3N-02089-26
13,C3L-00095-22,C3L-00893-23,C3N-02089-21
14,C3L-00095-23,C3L-00893-24,C3N-02089-22
15,C3L-00140-22,C3L-00893-25,C3N-02089-24
16,C3L-00140-26,C3N-02141-24,C3N-02089-27
17,C3L-00140-21,C3N-02141-26,C3L-04037-23
18,C3L-00144-21,C3N-02141-21,C3L-04037-24
19,C3L-00144-26,C3N-02141-22,C3L-04037-26
20,C3L-00263-24,C3N-02141-23,C3L-04037-21
21,C3L-00263-25,C3N-02141-27,C3L-04037-22
22,C3L-00263-28,C3L-00094-21,C3L-04037-25
23,C3L-00263-21,C3L-00094-26,C3L-04037-27
24,C3L-00263-22,C3N-00559-21,C3L-04037-28
25,C3L-00263-23,C3N-00559-26,C3N-02672-22
26,C3L-00263-26,C3N-00559-22,C3N-02672-28
27,C3L-00263-27,C3N-00559-23,C3N-02672-21
28,C3L-00279-22,C3N-00559-24,5a84eae1-197e-4463-ad65-59becc_D1_D1
29,C3L-00279-23,C3N-00559-27,C3L-02834-23
30,C3L-00279-25,C3N-02828-21,C3L-02834-24
31,C3L-00279-21,C3N-02828-26,C3L-02834-25
32,C3L-00279-24,C3N-02828-22,C3L-02834-26
33,C3L-00279-26,C3N-02828-23,C3L-02834-21
34,C3L-00368-21,C3N-02828-24,C3L-02834-22
35,C3L-00368-26,C3N-02828-27,C3L-04759-22
36,C3L-00368-22,C3N-04157-22,C3L-04759-27
37,C3L-00412-21,C3N-04157-26,C3L-04759-21
38,C3L-00412-26,C3N-04157-21,C3L-04759-23
39,C3L-00422-21,C3N-04157-23,C3L-04759-24
40,C3L-00422-22,C3N-03911-21,C3L-04759-25
41,C3L-00422-25,C3N-03911-26,C3L-04759-26
42,C3L-00422-23,C3N-03911-22,C3L-04759-28
43,C3L-00422-24,C3N-03911-23,C3L-01862-21
44,C3L-00422-26,C3N-02088-24,C3L-01862-22
45,C3L-00446-21,C3N-02088-27,C3L-01862-23
46,C3L-00446-25,C3N-02088-21,C3L-01862-26
47,C3L-00446-22,C3N-02088-22,C3N-02929-21
48,C3L-00446-23,C3N-02088-23,C3N-02929-22
49,C3L-00446-24,C3N-02088-26,C3N-02929-23
50,C3L-00446-26,C3L-02129-23,C3N-02240-23
51,C3L-00446-27,C3L-02129-21,C3N-02240-26
52,C3L-00510-22,C3L-02129-24,C3N-02240-21
53,C3L-00510-23,C3L-02129-22,C3N-02240-22
54,C3L-00510-24,C3N-02588-21,C3N-02240-24
55,C3L-00510-21,C3N-02588-22,C3N-02240-27
56,C3L-00510-25,C3N-02588-23,C3N-02251-26
57,C3L-00510-26,C3L-00080-21,C3N-02251-27
58,C3L-00604-21,C3L-00080-26,C3N-02251-28
59,C3L-00604-26,C3L-03984-21,C3N-01408-22
60,C3L-00604-22,C3L-03984-25,C3N-01408-27
61,C3L-00604-23,C3L-03984-26,C3N-01408-21
62,C3L-00913-23,C3L-03984-22,C3N-01408-23
63,C3L-00913-26,C3L-03984-23,C3N-01408-24
64,C3L-00913-21,C3L-03984-24,C3N-01408-26
65,C3L-00913-22,C3L-03984-27,C3N-03225-21
66,C3L-00973-23,C3L-03984-28,C3N-03225-26
67,C3L-00973-27,C3N-03210-22,C3N-03225-22
68,C3L-00973-21,C3N-03210-23,C3N-03225-23
