,train,val,test
0,C3L-00016-21,C3L-01048-22,C3L-04392-21
1,C3L-00016-24,C3L-01048-21,C3N-05039-21
2,C3L-00016-22,C3N-01505-21,C3N-05039-22
3,C3L-00016-23,C3L-07202-21,C3L-03387-21
4,C3L-00019-21,C3N-03025-21,C3L-03387-24
5,C3L-00019-23,C3N-00662-23,C3N-05114-21
6,C3L-00019-22,C3N-00662-21,C3N-05114-22
7,C3L-00104-21,C3N-00662-22,C3N-03452-25
8,C3L-00265-23,C3L-02705-21,C3N-03452-21
9,C3L-00265-24,C3L-02705-22,C3N-02783-25
10,C3L-00265-21,C3L-02705-25,C3N-02783-21
11,C3L-00265-22,C3L-02705-23,C3N-02783-22
12,C3L-00278-22,C3L-02705-24,C3N-02783-23
13,C3L-00278-23,C3L-02900-21,C3N-02783-24
14,C3L-00278-21,C3N-03810-21,C3N-03088-21
15,C3L-00349-22,C3N-03810-22,C3N-03088-22
16,C3L-00349-21,C3N-03810-23,C3L-03733-21
17,C3L-00349-23,C3L-02662-22,C3L-01232-24
18,C3L-00349-24,C3L-02662-23,C3L-01232-22
19,C3L-00365-21,C3L-02662-25,C3N-02190-21
20,C3L-00424-22,C3L-02662-21,C3N-02190-22
21,C3L-00424-23,C3L-02662-24,C3N-02190-23
22,C3L-00424-21,C3N-01365-22,C3L-04537-21
23,C3L-00429-21,C3N-01365-23,C3N-01856-23
24,C3L-00429-23,C3N-01365-24,C3N-03480-21
25,C3L-00429-22,C3N-01365-25,C3N-03480-22
26,C3L-00506-21,C3N-01365-26,C3N-03480-23
27,C3L-00506-22,C3L-03748-24,C3N-02186-23
28,C3L-00506-23,C3L-03748-21,C3N-02186-21
29,C3L-00528-22,C3L-03748-22,C3N-02186-22
30,C3L-00528-23,C3L-03748-23,C3L-00674-21
31,C3L-00528-21,C3L-03735-21,C3L-00674-22
32,C3L-00591-21,C3L-01155-21,C3N-00661-21
33,C3L-00591-23,C3L-01155-22,C3N-00661-22
34,C3L-00591-22,C3L-02644-22,C3N-00661-23
35,C3L-00631-22,C3L-02644-23,C3N-00661-24
36,C3L-00631-23,C3L-02644-25,C3N-02785-21
37,C3L-00631-21,C3L-02644-21,C3N-02785-22
38,C3L-00636-21,C3L-02644-24,C3N-02785-23
39,C3L-00636-22,C3N-03473-21,C3N-00665-21
40,C3L-00636-23,C3N-03473-22,C3N-00665-22
41,C3L-00671-22,C3N-03473-23,C3N-00665-23
42,C3L-00671-23,C3N-02286-21,C3N-00665-24
43,C3L-00671-21,C3N-02286-22,C3N-01196-24
44,C3L-00677-22,C3N-02286-23,C3L-06625-21
45,C3L-00677-21,C3N-03026-21,C3L-06625-22
46,C3L-01043-21,C3N-03026-22,C3N-01024-23
47,C3L-01043-24,C3N-03026-23,C3N-01024-26
48,C3L-01045-23,C3N-03026-24,C3N-01024-21
49,C3L-01045-24,C3N-03026-25,C3N-01024-22
50,C3L-01046-21,C3L-01061-21,C3N-01024-24
51,C3L-01046-24,C3L-01061-22,C3N-01024-27
52,C3L-01049-21,C3N-03800-21,C3N-02672-22
53,C3L-01049-22,C3N-03800-22,C3N-02672-28
54,C3L-01142-21,C3N-03800-23,C3N-02672-21
55,C3L-01142-22,C3L-01040-22,C3L-02169-21
56,C3L-01146-22,C3L-01040-23,C3L-02169-26
57,C3L-01146-25,C3N-01030-23,C3L-02169-22
58,C3L-01149-21,C3N-01030-26,C3L-02169-23
59,C3L-01149-22,C3N-01030-21,C3L-02169-24
60,C3L-01154-22,C3N-01030-22,C3L-02169-25
61,C3L-01154-23,C3N-01030-24,C3N-00549-23
62,C3L-01156-21,C3N-01030-27,C3N-00549-26
63,C3L-01156-22,C3L-00144-21,C3N-00549-27
64,C3L-01157-23,C3L-00144-26,C3N-00549-21
65,C3L-01157-21,C3L-03463-27,C3N-00549-22
66,C3L-01327-21,C3L-03463-26,C3N-00549-24
67,C3L-01834-22,C3N-00175-22,C3N-03890-21
68,C3L-01839-22,C3N-00175-26,C3N-03890-26
69,C3L-01839-23,C3N-00175-21,C3N-03890-22
70,C3L-01887-21,C3N-00175-23,C3N-03890-23
71,C3L-02041-22,C3N-00175-24,C3N-02251-26
72,C3L-02041-21,C3N-00175-27,C3N-02251-27
73,C3L-02465-22,C3N-00547-21,C3N-02251-28
74,C3L-02465-21,C3N-00547-26,C3L-02661-21
75,C3L-02504-21,C3N-00547-22,C3L-02661-26
76,C3L-02504-22,C3N-00547-23,C3L-02661-22
77,C3L-02542-23,C3N-00547-24,C3L-02661-23
78,C3L-02542-21,C3N-00547-27,C3L-02661-24
79,C3L-02542-22,C3N-02529-21,C3L-02661-25
80,C3L-02642-23,C3N-02529-22,C3L-02661-27
81,C3L-02642-21,C3N-02529-23,C3L-02508-22
82,C3L-02642-22,C3N-03929-21,C3L-02508-24
83,C3L-02642-24,C3N-03929-26,C3L-02508-21
84,C3L-02642-25,C3N-03929-22,C3L-02508-23
85,C3L-02704-21,C3N-03929-23,C3L-02508-25
86,C3L-02704-22,C3L-02560-22,C3L-02508-26
87,C3L-02704-23,C3L-02560-26,C3L-02365-21
88,C3L-02704-24,C3L-02560-21,C3L-02365-23
89,C3L-02704-25,C3N-02758-21,C3L-02365-22
90,C3L-02706-21,C3N-02758-22,C3L-02365-24
91,C3L-02706-22,C3N-02758-23,C3L-02365-25
92,C3L-02706-23,C3N-00560-22,C3N-01409-24
93,C3L-02706-24,C3N-00560-26,C3N-01409-21
94,C3L-02706-25,C3N-00560-21,C3N-01409-22
