,train,val,test
C3L-00016-21,True,False,False
C3L-00016-24,True,False,False
C3L-00016-22,True,False,False
C3L-00016-23,True,False,False
C3L-00019-21,True,False,False
C3L-00019-23,True,False,False
C3L-00019-22,True,False,False
C3L-00104-21,True,False,False
C3L-00265-23,True,False,False
C3L-00265-24,True,False,False
C3L-00265-21,True,False,False
C3L-00265-22,True,False,False
C3L-00278-22,True,False,False
C3L-00278-23,True,False,False
C3L-00278-21,True,False,False
C3L-00349-22,True,False,False
C3L-00349-21,True,False,False
C3L-00349-23,True,False,False
C3L-00349-24,True,False,False
C3L-00365-21,True,False,False
C3L-00424-22,True,False,False
C3L-00424-23,True,False,False
C3L-00424-21,True,False,False
C3L-00429-21,True,False,False
C3L-00429-23,True,False,False
C3L-00429-22,True,False,False
C3L-00506-21,True,False,False
C3L-00506-22,True,False,False
C3L-00506-23,True,False,False
C3L-00528-22,True,False,False
C3L-00528-23,True,False,False
C3L-00528-21,True,False,False
C3L-00591-21,True,False,False
C3L-00591-23,True,False,False
C3L-00591-22,True,False,False
C3L-00631-22,True,False,False
C3L-00631-23,True,False,False
C3L-00631-21,True,False,False
C3L-00636-21,True,False,False
C3L-00636-22,True,False,False
C3L-00636-23,True,False,False
C3L-00671-22,True,False,False
C3L-00671-23,True,False,False
C3L-00671-21,True,False,False
C3L-00674-21,True,False,False
C3L-00674-22,True,False,False
C3L-00677-22,True,False,False
C3L-00677-21,True,False,False
C3L-01040-22,True,False,False
C3L-01040-23,True,False,False
C3L-01045-23,True,False,False
C3L-01045-24,True,False,False
C3L-01048-22,True,False,False
C3L-01048-21,True,False,False
C3L-01049-21,True,False,False
C3L-01049-22,True,False,False
C3L-01061-21,True,False,False
C3L-01061-22,True,False,False
C3L-01142-21,True,False,False
C3L-01142-22,True,False,False
C3L-01146-22,True,False,False
C3L-01146-25,True,False,False
C3L-01149-21,True,False,False
C3L-01149-22,True,False,False
C3L-01155-21,True,False,False
C3L-01155-22,True,False,False
C3L-01157-23,True,False,False
C3L-01157-21,True,False,False
C3L-01232-24,True,False,False
C3L-01232-22,True,False,False
C3L-01834-22,True,False,False
C3L-01887-21,True,False,False
C3L-02465-22,True,False,False
C3L-02465-21,True,False,False
C3L-02504-21,True,False,False
C3L-02504-22,True,False,False
C3L-02642-23,True,False,False
C3L-02642-21,True,False,False
C3L-02642-22,True,False,False
C3L-02642-24,True,False,False
C3L-02642-25,True,False,False
C3L-02644-22,True,False,False
C3L-02644-23,True,False,False
C3L-02644-25,True,False,False
C3L-02644-21,True,False,False
C3L-02644-24,True,False,False
C3L-02662-22,True,False,False
C3L-02662-23,True,False,False
C3L-02662-25,True,False,False
C3L-02662-21,True,False,False
C3L-02662-24,True,False,False
C3L-02704-21,True,False,False
C3L-02704-22,True,False,False
C3L-02704-23,True,False,False
C3L-02704-24,True,False,False
C3L-02704-25,True,False,False
C3L-02706-21,True,False,False
C3L-02706-22,True,False,False
C3L-02706-23,True,False,False
C3L-02706-24,True,False,False
C3L-02706-25,True,False,False
C3L-02707-21,True,False,False
C3L-02707-22,True,False,False
