,train,val,test
0,002A,91,62A
1,002B,81A,62B
2,006A,81B,62C
3,006B,81C,62D
4,007A,81D,60
5,010A,005,009B
6,010B,52,009C
7,014B,011A,38
8,022,011B,104
9,023A,011C,72A
10,023B,59,72B
11,023C,099,020A
12,024,92,020B
13,025A,70,50
14,025B,,71
15,025C,,
16,026,,
17,34A,,
18,34B,,
19,36,,
20,39,,
21,40A,,
22,40B,,
23,40C,,
24,44,,
25,46,,
26,48,,
27,54,,
28,55,,
29,65,,
30,67A,,
31,67B,,
32,67C,,
33,75,,
34,79,,
35,83,,
36,85A,,
37,85B,,
38,85C,,
39,85D,,
40,87,,
41,88,,
42,98A,,
43,98B,,
44,98C,,
45,101A,,
46,106A,,
47,106B,,
48,001,,
49,003,,
50,004,,
51,008,,
52,012,,
53,013,,
54,017,,
55,021,,
56,33,,
57,35,,
58,37,,
59,41,,
60,42,,
61,47,,
62,49,,
63,53,,
64,56A,,
65,56B,,
66,57,,
67,58,,
68,61,,
69,63,,
70,64,,
71,66,,
72,68,,
73,69A,,
74,69B,,
75,69C,,
76,74A,,
77,74B,,
78,76A,,
79,76B,,
80,76C,,
81,77,,
82,78,,
83,82,,
84,84,,
85,86A,,
86,86B,,
87,89,,
88,90A,,
89,90B,,
90,93,,
91,94B,,
92,102,,
93,103,,
94,105,,
