,train,val,test
002A,True,False,False
002B,True,False,False
005,True,False,False
006A,True,False,False
006B,True,False,False
007A,True,False,False
010A,True,False,False
010B,True,False,False
023A,True,False,False
023B,True,False,False
023C,True,False,False
024,True,False,False
025A,True,False,False
025B,True,False,False
025C,True,False,False
026,True,False,False
34A,True,False,False
34B,True,False,False
36,True,False,False
40A,True,False,False
40B,True,False,False
40C,True,False,False
46,True,False,False
48,True,False,False
52,True,False,False
54,True,False,False
55,True,False,False
62A,True,False,False
62B,True,False,False
62C,True,False,False
62D,True,False,False
65,True,False,False
75,True,False,False
79,True,False,False
81A,True,False,False
81B,True,False,False
81C,True,False,False
81D,True,False,False
83,True,False,False
85A,True,False,False
85B,True,False,False
85C,True,False,False
85D,True,False,False
87,True,False,False
88,True,False,False
91,True,False,False
98A,True,False,False
98B,True,False,False
98C,True,False,False
101A,True,False,False
106A,True,False,False
106B,True,False,False
004,True,False,False
008,True,False,False
011A,True,False,False
011B,True,False,False
011C,True,False,False
012,True,False,False
013,True,False,False
017,True,False,False
020A,True,False,False
020B,True,False,False
021,True,False,False
33,True,False,False
35,True,False,False
37,True,False,False
41,True,False,False
42,True,False,False
47,True,False,False
49,True,False,False
50,True,False,False
53,True,False,False
57,True,False,False
58,True,False,False
59,True,False,False
63,True,False,False
66,True,False,False
68,True,False,False
70,True,False,False
72A,True,False,False
72B,True,False,False
74A,True,False,False
74B,True,False,False
77,True,False,False
78,True,False,False
82,True,False,False
86A,True,False,False
86B,True,False,False
89,True,False,False
92,True,False,False
93,True,False,False
94B,True,False,False
099,True,False,False
102,True,False,False
103,True,False,False
104,True,False,False
105,True,False,False
60,False,True,False
009B,False,True,False
009C,False,True,False
67A,False,True,False
67B,False,True,False
67C,False,True,False
44,False,True,False
76A,False,True,False
76B,False,True,False
76C,False,True,False
61,False,True,False
64,False,True,False
84,False,True,False
90A,False,True,False
90B,False,True,False
022,False,False,True
014B,False,False,True
38,False,False,True
39,False,False,True
71,False,False,True
001,False,False,True
003,False,False,True
69A,False,False,True
69B,False,False,True
69C,False,False,True
56A,False,False,True
56B,False,False,True
